prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
The Hipster @ Taman Desa,4200.0,Kuala Lumpur - Taman Desa,5.0,2.0,6.0,1842,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Segar Courts,2300.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,1170,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sentul Point Suite Apartment,1700.0,Kuala Lumpur - Sentul,2.0,1.0,2.0,743,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arte Mont Kiara,1299.0,Kuala Lumpur - Mont Kiara,1.0,1.0,1.0,494,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,Kuala Lumpur
Residensi Vista Wirajaya,1500.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,884,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sky Meridien,2900.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,982,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arte Plus Jalan Ampang,1550.0,Kuala Lumpur - Ampang,1.0,1.0,1.0,700,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Nova I,1400.0,Kuala Lumpur - Segambut,2.0,1.0,1.0,750,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Sofiya Residences,1350.0,Kuala Lumpur - Desa ParkCity,3.0,1.0,2.0,862,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
PV9 Residences @ Taman Melati,2000.0,Kuala Lumpur - Setapak,4.0,2.0,2.0,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
